Planet,Longitude,Nakshatra,Padam,Nakshatra Lord,Full Degree,Latitude/Shara,Speed(deg/day),RightAscension,Declination/Kranti,DateTime
Budha ,00°Dhan18′ 40″, Mula,1,Ketu,240.31,03°N07′ 33″,-0.34,263.67,-20.18,1991-01-01 19:00:00
Guru ,18°Kark10′ 45″, Ashlesha,1,Budha,108.18,00°N41′ 01″,-0.1,134.58,17.88,1991-01-01 19:00:00
Shukra ,01°Maka49′ 10″, U Ashadha,2,Surya,271.82,01°S17′ 59″,1.25,297.79,-22.31,1991-01-01 19:00:00
Shani ,02°Maka00′ 07″, U Ashadha,2,Surya,272.0,00°S08′ 37″,0.12,297.75,-21.14,1991-01-01 19:00:00
Surya ,16°Dhan57′ 14″, P Ashadha,2,Shukra,256.95,00°S00′ 00″,1.02,281.63,-23.01,1991-01-01 18:00:00
Chandra ,28°Mitu53′ 06″, Punarvasu,3,Guru,88.89,00°N29′ 54″,14.95,114.52,22.03,1991-01-01 18:00:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 37″,0.001,54.92,21.94,1991-01-01 18:00:00
Budha ,00°Dhan19′ 31″, Mula,1,Ketu,240.33,03°N07′ 38″,-0.34,263.68,-20.18,1991-01-01 18:00:00
Guru ,18°Kark11′ 00″, Ashlesha,1,Budha,108.18,00°N41′ 01″,-0.1,134.58,17.87,1991-01-01 18:00:00
Shukra ,01°Maka46′ 02″, U Ashadha,2,Surya,271.77,01°S17′ 56″,1.25,297.73,-22.32,1991-01-01 18:00:00
Shani ,01°Maka59′ 49″, U Ashadha,2,Surya,272.0,00°S08′ 37″,0.12,297.75,-21.14,1991-01-01 18:00:00
Arun ,16°Dhan01′ 45″, P Ashadha,1,Shukra,256.03,00°S19′ 09″,0.06,280.65,-23.4,1991-01-01 18:00:00
Arun ,16°Dhan01′ 54″, P Ashadha,1,Shukra,256.03,00°S19′ 09″,0.06,280.66,-23.4,1991-01-01 19:00:00
Varun ,20°Dhan24′ 15″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.27,-21.9,1991-01-01 19:00:00
Yam ,26°Tula01′ 22″, Vishakha,2,Guru,206.02,14°N58′ 49″,0.03,-128.68,-3.22,1991-01-01 19:00:00
Rahu ,05°Maka21′ 23″, U Ashadha,3,Surya,275.36,00°N00′ 00″,-0.05,301.24,-20.34,1991-01-01 19:00:00
Ketu ,05°Kark21′ 23″, Pushya,1,Shani,95.36,00°N00′ 00″,-0.05,121.24,20.34,1991-01-01 19:00:00
Spashth Rahu ,04°Maka17′ 39″, U Ashadha,3,Surya,274.29,00°N00′ 00″,-0.005,300.13,-20.56,1991-01-01 19:00:00
Spashth Ketu ,04°Kark17′ 39″, Pushya,1,Shani,94.29,00°N00′ 00″,-0.005,120.13,20.56,1991-01-01 19:00:00
Varun ,20°Dhan24′ 09″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.27,-21.9,1991-01-01 18:00:00
